url,redirect
investors/press-releases/2007/teletech-expands-relationship-with-leading-healthcare-provider,investors
investors/press-releases/2007/teletech-expands-relationship-with-leading-systems-integrator,investors
investors/press-releases/2007/teletech-government-solutions-launches-additional-us-department-of-state-web-site,investors
investors/press-releases/2007/teletech-launches-@home-solution-in-australia,investors
investors/press-releases/2007/teletech-launches-@home-solution-in-the-united-kingdom,investors
investors/press-releases/2007/teletech-names-judi-hand-to-key-leadership-post,investors
investors/press-releases/2007/teletech-opens-new-facilities-in-the-philippines,investors
investors/press-releases/2007/teletech-receives-internet-telephony(r)-magazine's-2006-product-of-the-year-award,investors
investors/press-releases/2007/teletech-receives-nasdaq-staff-determination-letter,investors
investors/press-releases/2007/teletech-renews-agreement-with-meridian-energy,investors
investors/press-releases/2007/teletech-reports-preliminary-third-quarter-results,investors
investors/press-releases/2007/teletech-reports-record-first-quarter-results,investors
investors/press-releases/2007/teletech-reports-record-fourth-quarter-results,investors
investors/press-releases/2007/teletech-reports-second-quarter-results,investors
investors/press-releases/2007/teletech-signs-agreement-with-kempe-foundation,investors
investors/press-releases/2007/teletech-signs-agreement-with-leading-financial-services-provider,investors
investors/press-releases/2007/teletech-signs-agreement-with-leading-global-money-transfer-services-company,investors
investors/press-releases/2007/teletech-signs-agreement-with-yellow-pages-group,investors
investors/press-releases/2007/teletech-signs-multiyear-agreement-with-nationwide-wireless-provider,investors
investors/press-releases/2007/teletech-signs-new-agreement-with-top-us-cable-provider,investors
investors/press-releases/2007/teletech-signs-new-agreement-with-top-us-cable-provider-(1),investors
investors/press-releases/2007/teletech-signs-new-long-term-agreement-with-leading-technology-products-company,investors
investors/press-releases/2007/teletech-signs-renewed-and-expanded-agreement-with-global-telecommunications-company,investors
investors/press-releases/2007/teletech-sponsors-komen-denver-race-for-the-cure(r),investors
investors/press-releases/2007/teletech-to-host-luncheon-for-philippine-president,investors
investors/press-releases/2007/teletech-to-present-at-the-citigroup-global-technology-conference,investors
investors/press-releases/2007/teletech-to-present-at-the-credit-suisse-first-boston-global-services-growth-conference,investors
"investors/press-releases/2007/teletech-to-present-at-the-friedman,-billings,-ramsey-2007-growth-conference",investors
investors/press-releases/2007/teletech-to-present-at-the-rbc-capital-markets-2007-north-american-technology-conference,investors
investors/press-releases/2007/teletech-to-present-at-the-robert-w-baird-2007-business-solutions-conference,investors
investors/press-releases/2007/teletech-to-present-at-the-ubs-2007-global-technology-and-services-conference,investors
investors/press-releases/2007/teletech-to-support-lockheed-martin-for-the-2010-census,investors
investors/press-releases/2008/direct-alliance-named-finalist-in-the-sixth-annual-american-business-awards,investors
investors/press-releases/2008/direct-alliance-president-named-finalist-for-best-executive-award,investors
investors/press-releases/2008/direct-alliance-renews-multiyear-contract-with-fortune-50-technology-services-provider,investors
investors/press-releases/2008/direct-alliance-signs-agreement-with-a-leading-broadband-communications-provider,investors
investors/press-releases/2008/direct-alliance-signs-agreement-with-engagementhealth,investors
"investors/press-releases/2008/robert-tarola,-senior-vice-president-of-corporate-strategy-and-former-chief-financial-officer-of-w-r-grace,-joins-teletech's-board-of-directors",investors
investors/press-releases/2008/teletech-announces-first-quarter-2008-business-highlights,investors
investors/press-releases/2008/teletech-announces-fourth-quarter-2007-business-highlights,investors
investors/press-releases/2008/teletech-announces-release-date-for-financial-results-for-third-quarter-and-full-year-2007-and-first-quarter-2008,investors
investors/press-releases/2008/teletech-announces-release-date-for-second-quarter-2008-financial-results-and-filing-of-its-quarterly-report-on-form-10-q,investors
investors/press-releases/2008/teletech-announces-release-date-for-third-quarter-2008-financial-results-and-filing-of-its-quarterly-report-on-form-10-q,investors
investors/press-releases/2008/teletech-announces-second-quarter-2008-financial-results,investors
investors/press-releases/2008/teletech-announces-third-quarter-2008-financial-results,investors
investors/press-releases/2008/teletech-attains-payment-card-industry-certification,investors
investors/press-releases/2008/teletech-audit-committee-completes-review-of-equity-based-compensation-practices,investors
investors/press-releases/2008/teletech-celebrates-10-years-of-success,investors
investors/press-releases/2008/teletech-completes-financial-restatement-updates-business-outlook-pipeline,investors
investors/press-releases/2008/teletech-employees-forego-holiday-party-to-volunteer-at-local-public-school,investors
investors/press-releases/2008/teletech-encourages-companies-to-save-fuel-with-its-@home-solution,investors
investors/press-releases/2008/teletech-expands-@home-solution-in-the-united-kingdom,investors
investors/press-releases/2008/teletech-expands-agreement-with-leading-broadband-communications-provider,investors
investors/press-releases/2008/teletech-expands-agreement-with-leading-financial-services-provider,investors
investors/press-releases/2008/teletech-expands-agreement-with-leading-global-financial-services-company,investors
investors/press-releases/2008/teletech-expands-agreement-with-leading-mobile-communications-provider,investors
investors/press-releases/2008/teletech-expands-agreement-with-leading-technology-products-company,investors
investors/press-releases/2008/teletech-expands-agreement-with-leading-technology-products-company-(1),investors
investors/press-releases/2008/teletech-expands-agreement-with-nationwide-wireless-provider,investors
investors/press-releases/2008/teletech-expands-relationship-with-leading-business-services-provider,investors
investors/press-releases/2008/teletech-expands-relationship-with-leading-us-healthcare-provider,investors
investors/press-releases/2008/teletech-named-finalist-at-the-third-annual-contact-center-world-awards,investors
investors/press-releases/2008/teletech-named-recipient-of-$25-billion-multivendor-government-contract,investors
investors/press-releases/2008/teletech-names-carol-kline-to-cio-post,investors
investors/press-releases/2008/teletech-receives-confirmation-from-nasdaq-that-it-has-regained-compliance-with-all-nasdaq-filing-requirements-also-receives-sec-letter-indicating-no-enforcement-action,investors
investors/press-releases/2008/teletech-receives-confirmation-from-nasdaq-that-it-has-regained-compliance-with-all-nasdaq-filing-requirements-also-receives-sec-letter-indicating-no-enforcement-action-(1),investors
investors/press-releases/2008/teletech-receives-nasdaq-staff-determination-letter,investors
investors/press-releases/2008/teletech-receives-nasdaq-staff-determination-letter-(1),investors
investors/press-releases/2008/teletech-renews-agreement-with-big-box-retailer,investors
investors/press-releases/2008/teletech-renews-agreement-with-leading-broadband-communications-provider,investors
investors/press-releases/2008/teletech-renews-multiyear-agreement-with-leading-healthcare-provider,investors
investors/press-releases/2008/teletech-schedules-release-date-and-conference-call-for-first-quarter-2008-business-highlights-and-provides-nasdaq-listing-status-update,investors
investors/press-releases/2008/teletech-signs-agreement-with-leading-healthcare-company,investors
investors/press-releases/2008/teletech-signs-agreement-with-leading-mobile-communications-provider,investors
investors/press-releases/2008/teletech-signs-multiyear-agreement-with-jnet-communications,investors
investors/press-releases/2008/teletech-signs-multiyear-agreement-with-leading-global-automobile-manufacturer,investors
investors/press-releases/2008/teletech-sponsors-komen-denver-race-for-the-cure(r),investors
investors/press-releases/2008/teletech-sponsors-webinar-on-relationship-optimization,investors
investors/press-releases/2008/teletech-sponsors-webinar-on-virtual-workforce-utilization,investors
investors/press-releases/2008/teletech-to-host-telcoa-regional-telework-forum,investors
investors/press-releases/2008/teletech-to-present-at-citigroup-investment-research-15th-annual-global-technology-conference,investors
investors/press-releases/2008/teletech-to-present-at-fbr-capital-markets-12th-annual-spring-investor-conference,investors
investors/press-releases/2008/teletech-to-present-at-the-citigroup-small-and-mid-cap-conference,investors
investors/press-releases/2008/teletech-to-present-at-the-robert-w-baird-2008-business-solutions-conference,investors
investors/press-releases/2008/teletech-wins-crm-excellence-award,investors
investors/press-releases/2008/teletech-wins-outstanding-employer-award,investors
investors/press-releases/2008/teletech-wins-top-marketing-honors,investors
"investors/press-releases/2009/anjan-mukherjee,-managing-director-of-the-blackstone-group,-joins-teletech's-board-of-directors",investors
investors/press-releases/2009/direct-alliance-a-finalist-for-three-american-business-awards,investors
investors/press-releases/2009/direct-alliance-awarded-government-sales-team-of-the-year,investors
investors/press-releases/2009/direct-alliance-named-finalist-for-sales-and-customer-management-awards,investors
investors/press-releases/2009/direct-alliance-president-named-finalist-for-best-executive-award,investors
investors/press-releases/2009/direct-alliance-recognized-as-an-award-winning-contributor,investors
investors/press-releases/2009/direct-alliance-recognized-as-an-award-winning-contributor,investors
investors/press-releases/2009/fcc-selects-teletech-government-solutions-to-support-digital-tv-transition,investors
investors/press-releases/2009/teletech-announces-first-quarter-2009-financial-results,investors
investors/press-releases/2009/teletech-announces-fourth-quarter-and-full-year-2008-financial-results,investors
investors/press-releases/2009/teletech-announces-increased-authorization-for-share-repurchases,investors
investors/press-releases/2009/teletech-announces-increased-authorization-for-share-repurchases-(1),investors
investors/press-releases/2009/teletech-announces-release-date-for-first-quarter-2009-financial-results-and-filing-of-its-quarterly-report-on-form-10-q,investors
investors/press-releases/2009/teletech-announces-release-date-for-fourth-quarter-and-full-year-2008-financial-results,investors
investors/press-releases/2009/teletech-announces-release-date-for-second-quarter-2009-financial-results-and-filing-of-its-quarterly-report-on-form-10-q,investors
investors/press-releases/2009/teletech-announces-release-date-for-third-quarter-2009-financial-results-and-filing-of-its-quarterly-report-on-form-10-q,investors
investors/press-releases/2009/teletech-announces-second-quarter-2009-financial-results,investors
investors/press-releases/2009/teletech-announces-third-quarter-2009-financial-results,investors
investors/press-releases/2009/teletech-belfast-celebrates-employee-successes-at-first-annual-award-ceremony,investors
investors/press-releases/2009/teletech-employees-continue-tradition-and-volunteer-more-than-1500-hours-to-a-denver-public-school,investors
investors/press-releases/2009/teletech-government-solutions-confirms-accuracy-of-hiring-data-for-fcc-program,investors
investors/press-releases/2009/teletech-selected-as-member-of-2009-global-outsourcing-100(tm),investors
investors/press-releases/2009/teletech-sponsors-komen-denver-race-for-the-cure(r),investors
"investors/press-releases/2009/teletech-to-hire-approximately-1,000-positions-in-el-paso-in-the-next-week!-holding-job-fair-from-january-27th-29th",investors
investors/press-releases/2009/teletech-to-present-at-nrf-convention,investors
investors/press-releases/2009/typhoon-ondoy-results-in-minimal-disruption-to-teletech's-philippines-operations-teletech's-global-employees-unite-to-provide-assistance-to-help-those-in-need,investors
investors/press-releases/2010/direct-alliance-a-finalist-for-the-american-business-awards,investors
investors/press-releases/2010/direct-alliance-a-finalist-for-three-stevie-awards-for-women-in-business,investors
investors/press-releases/2010/direct-alliance-named-as-finalist-for-sales-and-customer-service-awards,investors
investors/press-releases/2010/direct-alliance-revenue-generation-solution-to-boost-public-sector-sales-for-leading-technology-company,investors
investors/press-releases/2010/direct-alliance-wins-stevie-award,investors
investors/press-releases/2010/leading-global-technology-company-selects-direct-alliance-for-multi-million-dollar-turnkey-revenue-generation-solution,investors
investors/press-releases/2010/leading-mobile-wireless-provider-awards-multiyear-agreement-to-direct-alliance-for-revenue-generation-sales-solution,investors
investors/press-releases/2010/teletech-acquires-peppers-rogers-groupa-globally-renowned-customer-centric-management-consulting-firm,investors
investors/press-releases/2010/teletech-announces-exclusive-multiyear-agreement-with-the-american-bankers-association,investors
investors/press-releases/2010/teletech-announces-first-quarter-2010-financial-results,investors
investors/press-releases/2010/teletech-announces-fourth-quarter-and-full-year-2009-financial-results,investors
investors/press-releases/2010/teletech-announces-increased-authorization-for-share-repurchases,investors
investors/press-releases/2010/teletech-announces-increased-authorization-for-share-repurchases-(1),investors
investors/press-releases/2010/teletech-announces-increased-authorization-for-share-repurchases-2,investors
investors/press-releases/2010/teletech-announces-release-date-for-first-quarter-2010-financial-results-and-filing-of-its-quarterly-report-on-form-10-q,investors
investors/press-releases/2010/teletech-announces-release-date-for-fourth-quarter-and-full-year-2009-financial-results-and-filing-of-its-annual-report-on-form-10-k,investors
investors/press-releases/2010/teletech-announces-release-date-for-second-quarter-2010-financial-results-and-filing-of-its-quarterly-report-on-form-10-q,investors
investors/press-releases/2010/teletech-announces-release-date-for-third-quarter-2010-financial-results-and-filing-of-its-quarterly-report-on-form-10-q,investors
investors/press-releases/2010/teletech-announces-second-quarter-2010-financial-results,investors
investors/press-releases/2010/teletech-announces-third-quarter-2010-financial-results-,investors
investors/press-releases/2010/teletech-awarded-multi-year-agreement-with-leading-internet-search-company-to-enhance-clients'-online-advertising-programs,investors
investors/press-releases/2010/teletech-awarded-multi-year-contract-to-enhance-credit-card-customer-experience,investors
investors/press-releases/2010/teletech-community-foundation-honored-as-stevie-women-in-business-award-finalist,investors
investors/press-releases/2010/teletech-deploys-three-new-offerings-in-revenue-generation-product-suite,investors
investors/press-releases/2010/teletech-employees-adopt-beach-court-elementary-in-northwest-denver-in-lieu-of-a-traditional-company-holiday-party-,investors
investors/press-releases/2010/teletech-forms-strategic-alliance-with-lithium-technologies,investors
investors/press-releases/2010/teletech-government-solutions-providing-hosted-cloud-based-technology-infrastructure-for-2010-census,investors
investors/press-releases/2010/teletech-named-in-iaop's-2010-global-outsourcing-100(r)-list,investors
investors/press-releases/2010/teletech-names-joe-bellini-as-executive-vice-president-and-chief-sales-officer,investors
investors/press-releases/2010/teletech-recognized-as-best-buy-customer-care-vendor-of-the-year,investors
"investors/press-releases/2010/teletech-recognized-by-peza-as-philippines-outstanding-employer-for-third-time,-earns-hall-of-fame-honor",investors
investors/press-releases/2010/teletech-team-named-cloud-architects-of-the-year-by-oracle,investors
investors/press-releases/2010/teletech-to-host-cisco-telephony-and-portal-infrastructure-for-customer-interaction-cloud-solution,investors
investors/press-releases/2010/teletech-to-support-hope-for-haiti-now-global-telethon-for-earthquake-relief,investors
investors/press-releases/2011/direct-alliance-wins-2011-stevie-award-,investors
investors/press-releases/2011/eloyalty-achieves-advanced-data-center-architecture-specialization-from-cisco,investors
"investors/press-releases/2011/teletech@home(r)-to-hire-over-3,000-work-at-home-positions",investors
investors/press-releases/2011/teletech-announces-first-quarter-2011-financial-results,investors
investors/press-releases/2011/teletech-announces-fourth-quarter-and-full-year-2010-financial-results,investors
investors/press-releases/2011/teletech-announces-increased-authorization-of-$50-million-for-share-repurchases,investors
investors/press-releases/2011/teletech-announces-release-date-for-first-quarter-2011-financial-results-and-filing-of-its-quarterly-report-on-form-10-q,investors
investors/press-releases/2011/teletech-announces-release-date-for-fourth-quarter-and-full-year-2010-financial-results-and-filing-of-its-annual-report-on-form-10-k,investors
investors/press-releases/2011/teletech-announces-release-date-for-second-quarter-2011-financial-results-and-filing-of-its-quarterly-report-on-form-10-q,investors
investors/press-releases/2011/teletech-announces-release-date-for-third-quarter-2011-financial-results-and-filing-of-its-quarterly-report-on-form-10-q,investors
investors/press-releases/2011/teletech-announces-second-quarter-2011-financial-results,investors
investors/press-releases/2011/teletech-announces-third-quarter-2011-financial-results,investors
investors/press-releases/2011/teletech-appoints-judi-hand-as-executive-vice-president-and-chief-sales-officer,investors
investors/press-releases/2011/teletech-appoints-new-chief-financial-officer,investors
investors/press-releases/2011/teletech-awarded-multi-year-agreement-by-sabre-hospitality-solutions,investors
investors/press-releases/2011/teletech-awarded-multi-year-agreement-with-major-financial-services-information-company-,investors
investors/press-releases/2011/teletech-awarded-multi-year-contract-renewal-with-one-of-the-nation's-largest-health-insurance-companies,investors
investors/press-releases/2011/teletech-brings-social-learning-and-simulated-learning-solutions-to-market-for-global-1000-companies,investors
investors/press-releases/2011/teletech-chairman-and-ceo-acquires-additional-teletech-stock-via-option-exercise,investors
investors/press-releases/2011/teletech-chairman-and-ceo-acquires-additional-teletech-stock-via-option-exercise-(1),investors
investors/press-releases/2011/teletech-completes-acquisition-of-the-integrated-contact-solutions-business-unit-of-eloyalty,investors
investors/press-releases/2011/teletech-completes-multi-year-renewal-and-expansion-of-relationship-with-leading-retailer-to-support-existing-and-new-business-lines,investors
investors/press-releases/2011/teletech-named-among-world's-best-outsourcing-service-providers-for-third-consecutive-year-in-iaop's-2011-global-outsourcing-100(r),investors
investors/press-releases/2011/teletech-named-finalist-in-the-2011-american-business-awardssm,investors
investors/press-releases/2011/teletech-reaffirms-2011-revenue-growth-and-operating-margin-guidance-establishes-longer-term-financial-goals,investors
investors/press-releases/2011/teletech-recognized-for-commitment-to-employ-military-spouses,investors
investors/press-releases/2011/teletech-resells-salesforce-service-cloud,investors
investors/press-releases/2011/teletech's-direct-alliance-named-finalist-in-the-2011-american-business-awardssm,investors
investors/press-releases/2011/teletech-selected-by-a-premier-nonprofit-organization-to-deliver-revenue-generation-and-customer-experience-solutions,investors
investors/press-releases/2011/teletech-selected-to-provide-fully-hosted-technology-and-elearning-solutions-for-one-of-north-america's-largest-energy-services-retailers,investors
"investors/press-releases/2011/teletech-to-expand-its-customer-centric,-cloud-based-solutions-through-the-acquisition-of-the-integrated-contact-solutions-business-unit-of-eloyalty",investors
investors/press-releases/2011/teletech-to-host-seventh-annual-spirit-of-the-season-holiday-party,investors
investors/press-releases/2011/teletech-to-present-at-dreamforce-2011-,investors
investors/press-releases/2012/acquisition-of-leading-marketing-analytics-firm-iknowtion-strengthens-teletech's-fully-integrated-customer-experience-portfolio,investors
investors/press-releases/2012/direct-alliance-wins-two-gold-one-silver-and-three-bronze-stevie-reg-awards-in-2012-for-sales-and-customer-service-sup-sm-sup-,investors
investors/press-releases/2012/eloyalty-achieves-cisco-cloud-provider-certification-and-contact-center-as-a-service-designation,investors
investors/press-releases/2012/eloyalty-now-an-enterprise-partner-in-the-vmware-partner-network,investors
investors/press-releases/2012/revana-names-matt-rosenberg-as-chief-sales-officer,investors
investors/press-releases/2012/revana-president-judi-hand-wins-bronze-executive-of-the-year-stevie-award-for-women-in-business,investors
investors/press-releases/2012/teletech-acquires-guidon-performance-solutions-and-synovation-health-collaborative,investors
investors/press-releases/2012/teletech-announces-first-quarter-2012-financial-results,investors
investors/press-releases/2012/teletech-announces-fourth-quarter-and-full-year-2011-financial-results,investors
investors/press-releases/2012/teletech-announces-increased-authorization-25-million-for-share-repurchases,investors
investors/press-releases/2012/teletech-announces-increased-authorization-of-25-million-for-share-repurchases,investors
investors/press-releases/2012/teletech-announces-increased-authorization-of-25-million-for-share-repurchases-dec2012,investors
investors/press-releases/2012/teletech-announces-release-date-for-first-quarter-2012-financial-results-and-filing-of-its-quarterly-report-on-form-10-q,investors
investors/press-releases/2012/teletech-announces-release-date-for-fourth-quarter-and-full-year-2011-financial-results-and-filing-of-its-annual-report-on-form-10-k,investors
investors/press-releases/2012/teletech-announces-release-date-for-second-quarter-2012-financial-results-and-filing-of-its-quarterly-report-on-form-10-q,investors
investors/press-releases/2012/teletech-announces-release-date-for-third-quarter-2012-financial-results-and-filing-of-its-quarterly-report-on-form-10-q,investors
investors/press-releases/2012/teletech-announces-ruth-c-lipper-and-william-a-linnenbringer-to-retire-from-board-of-directors-gregory-a-conley-and-robert-webb-nominated-for-election,investors
investors/press-releases/2012/teletech-announces-second-quarter-2012-financial-results,investors
investors/press-releases/2012/teletech-announces-third-quarter-2012-financial-results,investors
investors/press-releases/2012/teletech-appoints-robert-frerichs-former-international-chairman-of-accenture-to-board-of-directors,investors
investors/press-releases/2012/teletech-awarded-contract-expansion-with-fortune-500-communications-company,investors
investors/press-releases/2012/teletech-awarded-customer-experience-contract-by-hyundai-motor-america,investors
investors/press-releases/2012/teletech-celebrates-8th-annual-spirit-of-the-season-event-with-denver-public-school,investors
investors/press-releases/2012/teletech-chosen-by-top-social-shopping-retailer-to-help-drive-triple-digit-growth-with-enhanced-customer-experience,investors
investors/press-releases/2012/teletech-expands-existing-revolving-credit-facility-by-150-million-to-500-million,investors
investors/press-releases/2012/teletech-foresees-new-standards-for-building-customer-trust-as-the-driving-force-for-the-future-of-customer-experience-management,investors
investors/press-releases/2012/teletech-fuels-job-growth-in-u-s-with-new-customer-experience-center-in-kentucky,investors
investors/press-releases/2012/teletech-home-is-hiring-approximately-7-500-seasonal-customer-experience-associates,investors
investors/press-releases/2012/teletech-launches-net-promoter-accelerator-to-drive-real-time-increases-in-customer-value,investors
investors/press-releases/2012/teletech-partners-with-satmetrix-to-activate-net-promoter-score(r)-for-clients,investors
"investors/press-releases/2012/teletech-positioned-in-the-leaders-quadrant-of-leading-analyst-firm's-magic-quadrant-for-customer-management-contact-center-bpo,-worldwide",investors
investors/press-releases/2012/teletech-recognized-among-top-10-leaders-on-iaop-s-list-of-world-s-best-outsourcing-partners,investors
investors/press-releases/2012/teletech-teams-up-the-american-red-cross-for-a-day-of-giving-to-raise-money-for-hurricane-sandy-relief,investors
investors/press-releases/2012/teletech-to-open-second-customer-experience-center-in-paducah-kentucky,investors
"investors/press-releases/2012/teletech-to-open-state-of-the-art-facility-in-greeley,-colorado,-bringing-500-new-jobs-to-northern-colorado",investors
investors/press-releases/2013/2013-customer-experience-takeaways,investors
investors/press-releases/2013/2013-customer-experience-takeaways,investors
investors/press-releases/2013/american-association-of-inside-sales-professionals-awards-revana-vice-president-with-the-excellence-in-execution-award,investors
"investors/press-releases/2013/customers-are-talking,-but-are-brands-listening",investors
investors/press-releases/2013/enhance-customer-experience-with-cloud-technology,investors
investors/press-releases/2013/experts-share-best-practices-to-turn-customer-experience-strategy-into-results,investors
"investors/press-releases/2013/go-social-got-the-tux,-but-can-you-dance",investors
investors/press-releases/2013/healthcare-consumers-may-actually-win-in-2014,investors
investors/press-releases/2013/peppers-rogers-group-and-teletech-present-a-customer-strategist-webinar-becoming-a-psychic-brand,investors
investors/press-releases/2013/revana-wins-gold-stevie%C2%AE-award-for-sales-outsourcing-provider-of-the-year-for-second-consecutive-year,investors
investors/press-releases/2013/social-media-gets-its-own-month-teletech-dedicates-march-to-sharing-social-media-best-practices-for-brands,investors
investors/press-releases/2013/superior-customer-experience-is-the-new-competitive-differentiator-in-healthcare,investors
investors/press-releases/2013/teletech%E2%80%99s-august-e-newsletter-preparing-for-the-fallidays!,investors
investors/press-releases/2013/teletech%E2%80%99s-mark-grindeland-named-2013-business-marketer-of-the-year-by-bma-colorado,investors
investors/press-releases/2013/teletech-announces-additional-$25-million-share-repurchase-authorization,investors
investors/press-releases/2013/teletech-announces-first-quarter-2013-financial-results,investors
investors/press-releases/2013/teletech-announces-fourth-quarter-and-full-year-2012-financial-results,investors
investors/press-releases/2013/teletech-announces-increased-authorization-of-$25-million-for-share-repurchases,investors
investors/press-releases/2013/teletech-announces-release-date-for-first-quarter-2013-financial-results-and-filing-of-its-quarterly-report-on-form-10-q,investors
investors/press-releases/2013/teletech-announces-release-date-for-fourth-quarter-and-full-year-2012-financial-results-and-filing-of-its-annual-report-on-form-10-k,investors
investors/press-releases/2013/teletech-announces-release-date-for-second-quarter-2013-financial-results-and-filing-of-its-quarterly-report-on-form-10-q,investors
investors/press-releases/2013/teletech-announces-release-date-for-third-quarter-2013-financial-results-and-filing-of-its-quarterly-report-on-form-10-q,investors
investors/press-releases/2013/teletech-announces-second-quarter-2013-financial-results,investors
investors/press-releases/2013/teletech-announces-third-quarter-2013-financial-results,investors
"investors/press-releases/2013/teletech-announces-three-year-commitment-to-foster-education-initiatives-at-university-preparatory-school,-a-denver-public-school",investors
investors/press-releases/2013/teletech-appoints-tracy-l-bahl-to-its-board-of-directors,investors
"investors/press-releases/2013/teletech-brings-400-healthcare-related-sales-and-service-jobs-to-ennis,-texas",investors
investors/press-releases/2013/teletech-celebrates-military-veterans-in-the-workforce,investors
"investors/press-releases/2013/teletech-community-foundation-donates-$500,000-to-charitable-organizations-in-2012,-with-a-focus-on-innovating-education",investors
investors/press-releases/2013/teletech-completes-acquisition-of-digital-acquisition-marketing-firm-webmetro,investors
investors/press-releases/2013/teletech-expands-its-end-to-end-revenue-generation-portfolio-through-the-acquisition-of-webmetro,investors
investors/press-releases/2013/teletech-honored-with-gold-and-silver-brandon-hall-excellence-awards-for-learning,investors
investors/press-releases/2013/teletech-names-brian-shepherd-as-executive-vice-president-of-teletech-and-president-of-its-strategic-consulting-and-global-technology-businesses,investors
investors/press-releases/2013/teletech-names-keith-gallacher-as-executive-vice-president-global-markets-and-industries,investors
investors/press-releases/2013/teletech-names-margaret-mclean-as-senior-vice-president-general-counsel,investors
investors/press-releases/2013/teletech-partnered-with-the-american-red-cross-and-the-denver-broncos-to-raise-over-$1-million-in-donations-for-the-colorado-flood-relief-effort-(1),investors
"investors/press-releases/2013/teletech-pledges-to-hire-1,000-veterans-in-2013",investors
investors/press-releases/2013/teletech-positioned-in-the-2012-%E2%80%9Cleaders%E2%80%9D-quadrant-of-gartner%E2%80%99s-magic-quadrant-for-third-consecutive-year,investors
"investors/press-releases/2013/teletech-secures-a-$700-million,-five-year-credit-facility-with-an-accordion-feature-to-increase-up-to-$1-billion",investors
investors/press-releases/2013/teletech-selected-by-fairfax-media-as-strategic-partner-in-customer-experience-transformation,investors
investors/press-releases/2013/teletech-selected-by-the-leading-weight-management-services-company-to-bring-technology-and-service-innovation-to-their-customer-experience,investors
investors/press-releases/2013/teletech-survey-finds-a-black-hole-of-customer-service-across-multiple-channels,investors
investors/press-releases/2013/teletech-to-expand-its-technology-based-offerings-through-the-acquisition-of-technology-solutions-group,investors
investors/press-releases/2013/the-key-to-your-customers%E2%80%99-heart-six-ways-to-say-i-love-you,investors
investors/press-releases/2013/usaa-honors-teletech-with-strategic-supplier-excellence-award-for-military-community-support,investors
investors/press-releases/2013/what%E2%80%99s-the-roi-of-customer-experience,investors
investors/press-releases/2014/9-technology-trends-that-are-having-a-transformational-impact-on-customers-healthcare-experience-e-book-highlights-the-top-trends-in-healthcare-that-are-impacting-the-customer-experience,investors
investors/press-releases/2014/addressing-the-omnichannel-customer-experience,investors
investors/press-releases/2014/best-practices-for-crafting-a-unified-multichannel-experience,investors
investors/press-releases/2014/best-practices-for-digital-marketing-success,investors
investors/press-releases/2014/eloyalty-launches-its-comprehensive-customer-experience-technology-solution-to-the-white-label-market,investors
investors/press-releases/2014/eloyalty-recognized-by-cisco-for-excellence-in-customer-satisfaction-in-the-united-states,investors
investors/press-releases/2014/eloyaltys-cloud-platform-achieves-pci-and-hipaa-compliance,investors
investors/press-releases/2014/finding-the-roi-of-customer-experience-its-out-there-if-you-look-for-it,investors
investors/press-releases/2014/global-laboratory-supply-company-selects-eloyalty-to-support-new-growth-strategy-and-consolidate-business-units,investors
"investors/press-releases/2014/introducing-the-technology-of-us,-a-provocative-discussion-about-the-new-relationship-between-technology-and-humanity",investors
investors/press-releases/2014/keys-to-delivering-a-world-class-customer-experience,investors
investors/press-releases/2014/leverage-data-analytics-to-optimize-customer-experience,investors
investors/press-releases/2014/marketers-solve-business-challenges-as-data-scientists,investors
investors/press-releases/2014/rein-in-the-benefits-of-cloud-technology,investors
investors/press-releases/2014/revolutionizing-the-customer-experience-with-speech-technology-,investors
investors/press-releases/2014/technologys-future-consumers-reward-companies-that-provide-experiences-that-are-simple-and-personal,investors
investors/press-releases/2014/teletech-10th-annual-philanthropic-event-celebrates-spirit-of-the-season-with-university-preparatory-school,investors
investors/press-releases/2014/teletech-announces-first-quarter-2014-financial-results,investors
investors/press-releases/2014/teletech-announces-increased-authorization-of-$25-million-for-share-repurchases,investors
"investors/press-releases/2014/teletech-announces-new-customer-experience-site-in-jonesboro,-arkansas",investors
investors/press-releases/2014/teletech-announces-release-date-for-fourth-quarter-and-full-year-2013-financial-results-and-filing-of-its-annual-report-on-form-10-k,investors
investors/press-releases/2014/teletech-announces-release-date-for-second-quarter-2014-financial-results-and-filing-of-its-quarterly-report-on-form-10-q,investors
investors/press-releases/2014/teletech-announces-second-quarter-2014-financial-results,investors
investors/press-releases/2014/teletech-announces-third-quarter-2014-financial-results,investors
investors/press-releases/2014/teletech-appoints-marc-l-holtzman-to-its-board-of-directors,investors
investors/press-releases/2014/teletech-completes-acquisition-of-leadership-and-change-management-consulting-firm-rogensi,investors
investors/press-releases/2014/teletech-completes-the-acquisition-of-bulgaria-based-sofica-group,investors
"investors/press-releases/2014/teletech-creates-more-than-3,000-new-jobs-in-18-months-and-opens-six-customer-experience-sites-in-united-states",investors
investors/press-releases/2015/cio-review-selects-eloyalty-for-20-most-promising-contact-center-technology-solution-providers-list,investors
investors/press-releases/2015/humanify-connects-its-open-architecture-with-cafex-to-create-a-new-breakthrough-omnichannel-customer-experience-solution-,investors
investors/press-releases/2015/teletech-announces-first-quarter-2015-financial-results,investors
investors/press-releases/2015/teletech-announces-fourth-quarter-and-full-year-2014-financial-results,investors
